 Negtive; Neutral;Positive;compound;sentimen
0.128;0.737;0.135;-0.1779;negatif
0.06;0.818;0.123;0.1779;positif
0.127;0.709;0.164;0.0;neutral
0.387;0.508;0.105;-0.802;negatif
0.449;0.432;0.119;-0.7269;negatif
0.085;0.777;0.138;0.2732;positif
0.152;0.803;0.044;-0.5789;negatif
0.316;0.579;0.105;-0.9501;negatif
0.245;0.647;0.108;-0.4404;negatif
0.145;0.855;0.0;-0.6956;negatif
0.108;0.728;0.165;0.2023;positif
0.159;0.649;0.192;0.25;positif
0.505;0.495;0.0;-0.8481;negatif
0.312;0.469;0.219;-0.2023;negatif
0.165;0.577;0.258;0.5267;positif
0.238;0.762;0.0;-0.6486;negatif
0.123;0.792;0.085;-0.4767;negatif
0.142;0.795;0.063;-0.4404;negatif
0.064;0.801;0.136;0.4703;positif
0.185;0.698;0.117;-0.5106;negatif
0.22;0.78;0.0;-0.8402;negatif
0.17;0.732;0.098;-0.6486;negatif
0.213;0.72;0.067;-0.8442;negatif
0.139;0.802;0.059;-0.4588;negatif
0.167;0.833;0.0;-0.9081;negatif
0.112;0.888;0.0;-0.7783;negatif
0.319;0.602;0.078;-0.6124;negatif
0.25;0.56;0.19;-0.6133;negatif
0.122;0.681;0.197;0.4927;positif
0.0;0.694;0.306;0.6945;positif
0.267;0.627;0.106;-0.6246;negatif
0.35;0.576;0.073;-0.8885;negatif
0.206;0.657;0.137;-0.34;negatif
0.382;0.551;0.067;-0.9267;negatif
0.481;0.519;0.0;-0.9726;negatif
0.516;0.484;0.0;-0.9766;negatif
0.323;0.677;0.0;-0.875;negatif
0.384;0.488;0.128;-0.873;negatif
0.133;0.781;0.086;-0.296;negatif
0.476;0.524;0.0;-0.875;negatif
0.213;0.787;0.0;-0.875;negatif
0.293;0.647;0.06;-0.8658;negatif
0.225;0.775;0.0;-0.8402;negatif
0.286;0.714;0.0;-0.875;negatif
0.315;0.61;0.075;-0.7269;negatif
0.112;0.775;0.112;-0.2523;negatif
0.067;0.698;0.235;0.3765;positif
0.28;0.638;0.082;-0.944;negatif
0.227;0.667;0.107;-0.4215;negatif
0.283;0.657;0.061;-0.8316;negatif
0.274;0.726;0.0;-0.5267;negatif
0.245;0.755;0.0;-0.9001;negatif
0.43;0.57;0.0;-0.7783;negatif
0.126;0.758;0.116;-0.1027;negatif
0.348;0.575;0.078;-0.8555;negatif
0.138;0.835;0.026;-0.7579;negatif
0.064;0.787;0.149;0.4754;positif
0.069;0.772;0.158;0.5256;positif
0.073;0.644;0.283;0.831;positif
0.151;0.71;0.139;-0.1027;negatif
0.326;0.523;0.151;-0.4588;negatif
0.0;0.758;0.242;0.1531;positif
0.138;0.811;0.051;-0.6486;negatif
0.147;0.712;0.141;-0.34;negatif
0.145;0.855;0.0;-0.7783;negatif
0.21;0.617;0.173;-0.1531;negatif
0.053;0.743;0.204;0.831;positif
0.0;0.765;0.235;0.8746;positif
0.205;0.642;0.153;-0.4019;negatif
0.052;0.815;0.133;0.4588;positif
0.278;0.722;0.0;-0.4019;negatif
0.07;0.828;0.101;0.128;positif
0.427;0.573;0.0;-0.802;negatif
0.131;0.729;0.14;0.128;positif
0.225;0.728;0.046;-0.8957;negatif
0.134;0.866;0.0;-0.5267;negatif
0.15;0.707;0.143;-0.34;negatif
0.128;0.76;0.112;-0.1027;negatif
0.103;0.729;0.167;0.2732;positif
0.227;0.722;0.052;-0.8176;negatif
0.084;0.812;0.105;-0.0352;negatif
0.18;0.741;0.079;-0.4404;negatif
0.0;0.939;0.061;0.4404;positif
0.221;0.779;0.0;-0.8807;negatif
0.043;0.93;0.027;-0.1854;negatif
0.194;0.629;0.177;-0.0772;negatif
0.115;0.779;0.106;-0.1027;negatif
0.155;0.845;0.0;-0.6486;negatif
0.084;0.839;0.078;-0.1027;negatif
0.067;0.727;0.206;0.7269;positif
0.129;0.739;0.133;-0.2023;negatif
0.205;0.69;0.104;-0.7906;negatif
0.234;0.722;0.045;-0.7579;negatif
0.041;0.794;0.165;0.7003;positif
0.266;0.625;0.109;-0.6124;negatif
0.234;0.606;0.159;-0.5729;negatif
0.2;0.688;0.112;-0.5859;negatif
0.162;0.69;0.148;-0.3818;negatif
0.142;0.729;0.129;-0.3818;negatif
0.359;0.641;0.0;-0.6808;negatif
0.049;0.825;0.126;0.4588;positif
0.245;0.576;0.18;-0.2263;negatif
0.037;0.814;0.149;0.7003;positif
0.039;0.861;0.1;0.4588;positif
0.098;0.812;0.09;-0.1027;negatif
0.258;0.647;0.095;-0.6478;negatif
0.0;0.888;0.112;0.5994;positif
0.295;0.705;0.0;-0.7717;negatif
0.059;0.846;0.095;0.2716;positif
0.151;0.802;0.047;-0.6908;negatif
0.332;0.56;0.108;-0.9512;negatif
0.203;0.797;0.0;-0.91;negatif
0.365;0.635;0.0;-0.9545;negatif
0.164;0.788;0.048;-0.8591;negatif
0.231;0.769;0.0;-0.8442;negatif
0.312;0.459;0.229;-0.2263;negatif
0.346;0.599;0.055;-0.9783;negatif
0.187;0.67;0.143;-0.5252;negatif
0.1;0.832;0.068;-0.4404;negatif
0.308;0.625;0.067;-0.7506;negatif
0.156;0.645;0.199;0.3291;positif
0.344;0.556;0.1;-0.7648;negatif
0.296;0.63;0.074;-0.7964;negatif
0.382;0.618;0.0;-0.7783;negatif
0.126;0.781;0.093;-0.2263;negatif
0.062;0.801;0.137;0.4767;positif
0.0;0.912;0.088;0.5859;positif
0.236;0.633;0.132;-0.4513;negatif
0.2;0.668;0.131;-0.6249;negatif
0.124;0.727;0.149;0.3182;positif
0.32;0.68;0.0;-0.8555;negatif
0.295;0.649;0.057;-0.8689;negatif
0.0;0.73;0.27;0.8225;positif
0.0;0.714;0.286;0.8625;positif
0.271;0.613;0.116;-0.8782;negatif
0.067;0.933;0.0;-0.3612;negatif
0.227;0.726;0.047;-0.7158;negatif
0.348;0.652;0.0;-0.7506;negatif
0.0;0.78;0.22;0.7906;positif
0.478;0.522;0.0;-0.7506;negatif
0.23;0.563;0.208;-0.3857;negatif
0.043;0.957;0.0;-0.25;negatif
0.136;0.8;0.064;-0.4215;negatif
0.269;0.632;0.099;-0.6486;negatif
0.266;0.675;0.059;-0.8591;negatif
0.212;0.584;0.204;-0.0516;negatif
0.0;0.813;0.187;0.5229;positif
0.489;0.511;0.0;-0.7717;negatif
0.194;0.731;0.075;-0.8176;negatif
0.163;0.718;0.12;-0.2263;negatif
0.102;0.898;0.0;-0.5256;negatif
0.104;0.761;0.136;0.0;neutral
0.17;0.83;0.0;-0.7149;negatif
0.091;0.909;0.0;-0.4404;negatif
0.184;0.816;0.0;-0.743;negatif
0.229;0.658;0.113;-0.7149;negatif
0.234;0.657;0.109;-0.5267;negatif
0.177;0.763;0.06;-0.7096;negatif
0.135;0.736;0.129;-0.3208;negatif
0.0;0.913;0.087;0.4939;positif
0.429;0.442;0.128;-0.7783;negatif
0.171;0.754;0.075;-0.4404;negatif
0.245;0.504;0.252;-0.2263;negatif
0.184;0.722;0.095;-0.6486;negatif
0.22;0.737;0.044;-0.9136;negatif
0.143;0.714;0.143;0.0;neutral
0.117;0.722;0.162;0.0772;positif
0.178;0.605;0.217;-0.1109;negatif
0.078;0.641;0.281;0.7818;positif
0.089;0.783;0.128;0.128;positif
0.0;0.815;0.185;0.3612;positif
0.075;0.837;0.088;-0.1027;negatif
0.449;0.551;0.0;-0.9042;negatif
0.352;0.648;0.0;-0.765;negatif
0.0;0.853;0.147;0.6908;positif
0.262;0.615;0.123;-0.4215;negatif
0.0;0.889;0.111;0.7506;positif
0.373;0.406;0.221;-0.9078;negatif
0.078;0.826;0.096;0.0258;positif
0.228;0.671;0.101;-0.4404;negatif
0.054;0.791;0.155;0.7501;positif
0.231;0.769;0.0;-0.8176;negatif
0.121;0.568;0.312;0.659;positif
0.044;0.785;0.171;0.7343;positif
0.0;0.723;0.277;0.8225;positif
0.531;0.469;0.0;-0.7783;negatif
0.253;0.747;0.0;-0.6956;negatif
0.0;0.746;0.254;0.8204;positif
0.198;0.601;0.201;-0.2263;negatif
0.13;0.87;0.0;-0.5859;negatif
0.201;0.68;0.118;-0.5859;negatif
0.231;0.644;0.125;-0.6249;negatif
0.223;0.59;0.187;-0.2732;negatif
0.128;0.717;0.155;0.1779;positif
0.254;0.522;0.224;-0.2023;negatif
0.248;0.591;0.161;-0.0516;negatif
0.298;0.498;0.204;-0.2247;negatif
0.207;0.67;0.123;-0.5423;negatif
0.172;0.657;0.172;0.0;neutral
0.094;0.826;0.08;-0.128;negatif
0.0;0.912;0.088;0.25;positif
0.128;0.788;0.084;-0.5126;negatif
0.114;0.774;0.111;-0.0258;negatif
0.18;0.759;0.061;-0.7096;negatif
0.26;0.534;0.206;-0.1779;negatif
0.125;0.769;0.106;-0.128;negatif
0.195;0.718;0.086;-0.7003;negatif
0.209;0.791;0.0;-0.5817;negatif
0.333;0.667;0.0;-0.5423;negatif
0.0;0.926;0.074;0.25;positif
0.089;0.757;0.154;0.3612;positif
0.195;0.805;0.0;-0.7783;negatif
0.201;0.651;0.148;-0.4215;negatif
0.189;0.722;0.089;-0.4215;negatif
0.137;0.726;0.137;0.0;neutral
0.204;0.749;0.048;-0.7351;negatif
0.193;0.652;0.156;-0.5106;negatif
0.286;0.714;0.0;-0.7783;negatif
0.095;0.752;0.153;0.2716;positif
0.236;0.764;0.0;-0.7783;negatif
0.158;0.719;0.123;-0.5423;negatif
0.127;0.692;0.181;-0.0352;negatif
0.092;0.759;0.149;0.2716;positif
0.223;0.689;0.089;-0.6249;negatif
0.173;0.654;0.173;-0.25;negatif
0.081;0.742;0.177;0.25;positif
0.27;0.608;0.122;-0.765;negatif
0.0;0.88;0.12;0.128;positif
0.214;0.692;0.094;-0.7003;negatif
0.137;0.803;0.06;-0.4404;negatif
0.268;0.551;0.181;-0.6486;negatif
0.306;0.694;0.0;-0.6486;negatif
0.198;0.7;0.102;-0.6486;negatif
0.201;0.71;0.089;-0.7003;negatif
0.211;0.743;0.046;-0.743;negatif
0.283;0.584;0.134;-0.8934;negatif
0.242;0.641;0.117;-0.5423;negatif
0.279;0.627;0.094;-0.743;negatif
0.0;0.933;0.067;0.128;positif
0.264;0.62;0.116;-0.7003;negatif
0.339;0.661;0.0;-0.8271;negatif
0.187;0.771;0.041;-0.743;negatif
0.171;0.731;0.098;-0.601;negatif
0.0;0.897;0.103;0.128;positif
0.311;0.64;0.049;-0.8625;negatif
0.217;0.735;0.048;-0.743;negatif
0.114;0.836;0.05;-0.4404;negatif
0.256;0.653;0.09;-0.8225;negatif
0.241;0.686;0.073;-0.8442;negatif
0.118;0.761;0.121;-0.2263;negatif
0.298;0.702;0.0;-0.7783;negatif
0.11;0.809;0.081;-0.2263;negatif
0.169;0.794;0.037;-0.743;negatif
0.185;0.815;0.0;-0.7783;negatif
0.312;0.688;0.0;-0.8225;negatif
0.168;0.743;0.089;-0.6369;negatif
0.115;0.712;0.173;-0.0772;negatif
0.286;0.689;0.025;-0.9477;negatif
0.183;0.753;0.065;-0.6597;negatif
0.111;0.782;0.107;-0.0258;negatif
0.092;0.867;0.041;-0.4404;negatif
0.143;0.674;0.183;-0.0258;negatif
0.317;0.683;0.0;-0.8807;negatif
0.208;0.642;0.15;-0.4404;negatif
0.172;0.707;0.121;-0.6124;negatif
0.212;0.654;0.134;-0.5423;negatif
0.259;0.684;0.057;-0.743;negatif
0.084;0.743;0.173;0.3818;positif
0.167;0.714;0.118;-0.4588;negatif
0.207;0.793;0.0;-0.8807;negatif
0.175;0.747;0.077;-0.7003;negatif
0.213;0.69;0.097;-0.6908;negatif
0.086;0.808;0.106;-0.0516;negatif
0.214;0.786;0.0;-0.7783;negatif
0.135;0.803;0.062;-0.4215;negatif
0.107;0.784;0.11;-0.2263;negatif
0.191;0.674;0.135;-0.6124;negatif
0.264;0.736;0.0;-0.7783;negatif
0.145;0.791;0.064;-0.7003;negatif
0.191;0.674;0.135;-0.4588;negatif
0.207;0.793;0.0;-0.7783;negatif
0.17;0.725;0.105;-0.5574;negatif
0.175;0.825;0.0;-0.8271;negatif
0.29;0.71;0.0;-0.8807;negatif
0.272;0.648;0.08;-0.7599;negatif
0.077;0.701;0.222;0.631;positif
0.223;0.72;0.057;-0.7227;negatif
0.199;0.614;0.187;-0.34;negatif
0.116;0.751;0.133;-0.1311;negatif
0.174;0.744;0.082;-0.6808;negatif
0.293;0.707;0.0;-0.8271;negatif
0.266;0.625;0.109;-0.6133;negatif
0.0;0.775;0.225;0.4404;positif
0.094;0.799;0.107;-0.128;negatif
0.114;0.805;0.081;-0.25;negatif
0.153;0.721;0.126;-0.296;negatif
0.089;0.763;0.147;0.296;positif
0.431;0.569;0.0;-0.8625;negatif
0.1;0.855;0.044;-0.4404;negatif
0.188;0.812;0.0;-0.7351;negatif
0.105;0.895;0.0;-0.5267;negatif
0.249;0.751;0.0;-0.6486;negatif
0.099;0.816;0.085;-0.128;negatif
0.182;0.777;0.04;-0.743;negatif
0.152;0.761;0.087;-0.601;negatif
0.167;0.762;0.071;-0.5994;negatif
0.08;0.92;0.0;-0.5267;negatif
